iter	Passed	Remaining
0	16	3263
1	26	2596
2	43	2869
3	59	2901
4	75	2960
5	91	2958
6	107	2951
7	119	2874
8	136	2906
9	153	2912
10	170	2924
11	187	2937
12	204	2938
13	220	2934
14	238	2938
15	257	2960
16	275	2965
17	293	2963
18	310	2955
19	330	2971
20	350	2988
21	368	2978
22	384	2958
23	402	2952
24	424	2969
25	442	2962
26	460	2953
27	479	2946
28	499	2944
29	516	2926
30	534	2912
31	551	2896
32	567	2872
33	584	2852
34	601	2833
35	619	2823
36	638	2811
37	655	2793
38	672	2776
39	691	2764
40	709	2752
41	727	2735
42	745	2722
43	762	2704
44	780	2690
45	800	2681
46	821	2674
47	842	2668
48	867	2672
49	892	2678
50	917	2679
51	943	2684
52	966	2680
53	990	2679
54	1011	2667
55	1029	2647
56	1048	2630
57	1070	2621
58	1089	2604
59	1107	2584
60	1124	2561
61	1141	2541
62	1159	2520
63	1178	2504
64	1198	2488
65	1218	2474
66	1239	2460
67	1259	2444
68	1279	2428
69	1298	2411
70	1318	2396
71	1339	2380
72	1359	2364
73	1377	2345
74	1397	2329
75	1419	2316
76	1440	2301
77	1463	2289
78	1488	2279
79	1512	2268
80	1535	2256
81	1558	2242
82	1582	2231
83	1606	2218
84	1633	2210
85	1659	2200
86	1682	2184
87	1703	2167
88	1721	2146
89	1740	2127
90	1758	2106
91	1778	2087
92	1796	2067
93	1814	2046
94	1832	2025
95	1849	2003
96	1866	1982
97	1884	1961
98	1900	1939
99	1917	1917
100	1934	1895
101	1950	1874
102	1968	1853
103	1986	1833
104	2004	1813
105	2023	1794
106	2045	1777
107	2069	1762
108	2091	1745
109	2111	1727
110	2130	1707
111	2147	1687
112	2167	1668
113	2186	1649
114	2206	1630
115	2225	1611
116	2243	1591
117	2261	1571
118	2280	1552
119	2297	1531
120	2313	1510
121	2330	1490
122	2347	1469
123	2364	1449
124	2382	1429
125	2398	1408
126	2415	1388
127	2433	1368
128	2449	1348
129	2466	1328
130	2483	1307
131	2499	1287
132	2517	1268
133	2535	1248
134	2552	1229
135	2569	1209
136	2587	1190
137	2604	1170
138	2621	1150
139	2638	1130
140	2655	1111
141	2671	1091
142	2681	1068
143	2690	1046
144	2699	1023
145	2707	1001
146	2715	979
147	2724	957
148	2732	935
149	2741	913
150	2752	893
151	2760	871
152	2769	850
153	2777	829
154	2786	808
155	2794	788
156	2803	767
157	2811	747
158	2820	727
159	2828	707
160	2839	687
161	2847	667
162	2857	648
163	2866	629
164	2874	609
165	2883	590
166	2891	571
167	2900	552
168	2908	533
169	2917	514
170	2925	496
171	2934	477
172	2943	459
173	2952	441
174	2960	422
175	2969	404
176	2978	386
177	2987	369
178	2996	351
179	3004	333
180	3013	316
181	3022	298
182	3031	281
183	3039	264
184	3048	247
185	3056	230
186	3065	213
187	3074	196
188	3082	179
189	3090	162
190	3099	146
191	3107	129
192	3117	113
193	3125	96
194	3134	80
195	3142	64
196	3150	47
197	3159	31
198	3167	15
199	3175	0
