Variable,Outcome,Count,Percent
job,admin.,10419,25.3
job,blue-collar,9253,22.47
job,technician,6739,16.37
job,services,3967,9.63
job,management,2924,7.1
job,retired,1718,4.17
job,entrepreneur,1456,3.54
job,self-employed,1421,3.45
job,housemaid,1060,2.57
job,unemployed,1014,2.46
job,student,875,2.13
job,unknown,330,0.8
marital,married,24921,60.52
marital,single,11564,28.08
marital,divorced,4611,11.2
marital,unknown,80,0.19
education,university.degree,12164,29.54
education,high.school,9512,23.1
education,basic.9y,6045,14.68
education,professional.course,5240,12.73
education,basic.4y,4176,10.14
education,basic.6y,2291,5.56
education,unknown,1730,4.2
education,illiterate,18,0.04
default,no,32577,79.12
default,unknown,8596,20.88
default,yes,3,0.01
housing,yes,21571,52.39
housing,no,18615,45.21
housing,unknown,990,2.4
loan,no,33938,82.42
loan,yes,6248,15.17
loan,unknown,990,2.4
contact,cellular,26135,63.47
contact,telephone,15041,36.53
month,may,13767,33.43
month,jul,7169,17.41
month,aug,6176,15.0
month,jun,5318,12.92
month,nov,4100,9.96
month,apr,2631,6.39
month,oct,717,1.74
month,sep,570,1.38
month,mar,546,1.33
month,dec,182,0.44
day_of_week,thu,8618,20.93
day_of_week,mon,8512,20.67
day_of_week,wed,8134,19.75
day_of_week,tue,8086,19.64
day_of_week,fri,7826,19.01
poutcome,nonexistent,35551,86.34
poutcome,failure,4252,10.33
poutcome,success,1373,3.33
y,no,36537,88.73
y,yes,4639,11.27
