| Job           |    no |   yes |   Total |   % no |   % yes |   % Total |
|:--------------|------:|------:|--------:|-------:|--------:|----------:|
| admin.        |  9068 |  1351 |   10419 |  87.03 |   12.97 |       100 |
| blue-collar   |  8615 |   638 |    9253 |  93.1  |    6.9  |       100 |
| entrepreneur  |  1332 |   124 |    1456 |  91.48 |    8.52 |       100 |
| housemaid     |   954 |   106 |    1060 |  90    |   10    |       100 |
| management    |  2596 |   328 |    2924 |  88.78 |   11.22 |       100 |
| retired       |  1284 |   434 |    1718 |  74.74 |   25.26 |       100 |
| self-employed |  1272 |   149 |    1421 |  89.51 |   10.49 |       100 |
| services      |  3644 |   323 |    3967 |  91.86 |    8.14 |       100 |
| student       |   600 |   275 |     875 |  68.57 |   31.43 |       100 |
| technician    |  6009 |   730 |    6739 |  89.17 |   10.83 |       100 |
| unemployed    |   870 |   144 |    1014 |  85.8  |   14.2  |       100 |
| unknown       |   293 |    37 |     330 |  88.79 |   11.21 |       100 |
| Total         | 36537 |  4639 |   41176 |  88.73 |   11.27 |       100 |
