| Month   |    no |   yes |   Total |   % no |   % yes |   % Total |
|:--------|------:|------:|--------:|-------:|--------:|----------:|
| apr     |  2092 |   539 |    2631 |  79.51 |   20.49 |       100 |
| aug     |  5521 |   655 |    6176 |  89.39 |   10.61 |       100 |
| dec     |    93 |    89 |     182 |  51.1  |   48.9  |       100 |
| jul     |  6521 |   648 |    7169 |  90.96 |    9.04 |       100 |
| jun     |  4759 |   559 |    5318 |  89.49 |   10.51 |       100 |
| mar     |   270 |   276 |     546 |  49.45 |   50.55 |       100 |
| may     | 12881 |   886 |   13767 |  93.56 |    6.44 |       100 |
| nov     |  3684 |   416 |    4100 |  89.85 |   10.15 |       100 |
| oct     |   402 |   315 |     717 |  56.07 |   43.93 |       100 |
| sep     |   314 |   256 |     570 |  55.09 |   44.91 |       100 |
| Total   | 36537 |  4639 |   41176 |  88.73 |   11.27 |       100 |
